"Number","Sex","Tail","Age","Weight"
1,"Male",10.6,19,31.11
3,"Male",10.6,15,31.77
4,"Male",10.6,15,35.04
5,"Female",10.6,14,21.73
6,"Male",10.6,14,36.76
7,"Male",10.6,13,36.56
9,"Male",10.6,12,32.98
10,"Male",10.6,12,28.62
11,"Male",10.6,12,30.75
13,"Female",10.6,11,28.32
14,"Female",10.6,11,24.57
15,"Female",10.6,11,27.12
18,"Male",10.6,10,28.53
19,"Male",10.3,10,30.48
20,"Male",10.6,10,28.2
21,"Male",10.5,10,30.08
29,"Male",8.9,7,22.6
30,"Female",8.9,7,20.23
35,"Female",8.3,6,23.24
36,"Female",8.3,6,18.95
